0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:33 +0530] "GET /PetWorld/resources/image/doggy.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:33 +0530] "GET /PetWorld/resources/image/cat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:33 +0530] "GET /PetWorld/resources/image/bird1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:33 +0530] "GET /PetWorld/resources/image/bird3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:36 +0530] "GET /PetWorld/signup HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:42 +0530] "GET /PetWorld/mainpage HTTP/1.1" 200 3924
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:42 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:44 +0530] "GET /PetWorld/form HTTP/1.1" 200 2825
0:0:0:0:0:0:0:1 - - [12/Sep/2016:09:50:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:04:01 +0530] "GET /PetWorld/signup HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:04:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:05:34 +0530] "GET /PetWorld/signup HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:05:34 +0530] "GET /PetWorld/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:05:34 +0530] "GET /PetWorld/resources/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:05:44 +0530] "GET /PetWorld/resources/image/img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:05:44 +0530] "GET /PetWorld/resources/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:05:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:32:00 +0530] "GET /PetWorld/signup HTTP/1.1" 200 4903
0:0:0:0:0:0:0:1 - - [12/Sep/2016:10:32:00 +0530] "GET /PetWorld/resources/css/bootstrap.min.css HTTP/1.1" 304 -
